Preferred term,Category,Source,Source2,Variants,Var source,Variants2,Definition,Definition source,Applicable profession,Related term,Relationship,Related term 2,Relationship2,Main category,Flag,Notes,LCSH Heading,LCSH link,OHP Core
Missionary,GT,PST,,,,,"a person sent on a religious mission, especially one sent to promote Christianity in a foreign country",,,,,,,,,,,,
Montage,TP,PST,,,,,"Is a technique in film editing in which a series of short shots are edited into a sequence to condense space, time, and information.",,,,,,,,,,,,
Motherhood,GT,PST,,,,,The state of being a mother,,,,,,,,,,,,
Movie theater,GT,PST,,,,,A theater where movies are shown for public entertainment.,,,,,,,,,,,,
Moviola,TP,PST,,,,,A Moviola is a device that allows a film editor to view a film while editing. It was the first machine for motion picture editing when it was invented by Iwan Serrurier in 1924.,,,,,,,,,,,,
Museum of Modern Art,GT,PST,,MoMA,,,An art museum located in Midtown Manhattan in New York City,,,,,,,,,,,,
Musical Theater of Havana,GT,PST,,,,,"The Gran Teatro de La Habana Alicia Alonso is located in the Paseo del Prado in Havana, Cuba. It is located in a building known as the Galician Centre of Havana, constructed to serve as a social center for Galician immigrants to Havan",,,,,,,,,,,,
Musicals,GF,PST,,,,,A play or movie in which singing and dancing play an essential part. Musicals developed from light opera in the early 20th century.,,,,,,,,,,,,
Musicians,PC,PST,,,,,"A composer, conductor, or performer of music",,,,,,,,,,,,
Mythology,GT,PST,,,,,"a collection of myths, especially one belonging to a particular religious or cultural tradition",,,,,,,,,,,,
Nadaism,GT,PST,,,,,"Nadaism (Spanish: Nadaísmo, meaning ""Nothing-ism"" in English) was an artistic and philosophical counterculture movement in Colombia prevalent from 1958 to 1964. The movement was founded by writer Gonzalo Arango and was influenced by nihilism, existentialism, and the works of Colombian writer and philosopher Fernando González Ochoa",,,,,,,,,,,,
Narrative structure,GT,PST,,,,,Narrative structure is about two things: the content of a story and the form used to tell the story.,,,,,,,,,,,,
National Student Film Festival Dramatic Film Award,AW,PST,,,,,,,,,,,,,,,,,
Nationalism,GT,PST,,,,,"Patriotic feeling, principles, or efforts.",,,,,,,,,,,,
Nazis,GT,PST,,German Soldiers,,,A member of the National Socialists German Workers' Party,,,,,,,,,,,,
Neorealism,GF,PST,,,,,A movement or school in art or philosophy representing a modified form of realism.,,,,,,,,,,,,
New Directors/New Films Festival,GT,PST,,,,,"An annual film festival held in New York City, and organized jointly by the Museum of Modern Art and the Film Society of Lincoln Center (since 1972)",,,,,,,,,,,,
New Latin American Cinema,GT,PST,,Cinema Novo,,Third Cinema,,,,,,,,,,,,,
Newspapers,GT,PST,,,,,"A paper that is printed and distributed usually daily or weekly and that contains news, articles of opinion, features, and advertising",,,,,,,,,,,,
Nightmares,GT,PST,,,,,a frightening or unpleasant dream.,,,,,,,,,,,,
Nobel Prize,GT,PST,,,,,"a set of annual international awards bestowed in several categories by Swedish and Norwegian institutions in recognition of academic, cultural or scientific advances",,,,,,,,,,,,
Non-Hodgkin's lymphoma,GT,PST,,,,,Cancer that starts in the lymphatic system,,,,,,,,,,,,
Novel,GT,PST,,,,,Fictional story in long form,,,,,,,,,,,,
Oral tradition,GT,PST,,,,,The practice of telling stories orally,,,,,,,,,,,,
Organized crime,GT,PST,,Mafia,,,A group involved in secret or criminal activities •,,,,,,,,,,,,
Painting,GT,PST,,,,,A work produced through the art of painting,,,,,,,,,,,,
Pantomine,GT,PST,,,,,Any of various dramatic or dancing performances in which a story is told by expressive bodily or facial movements of the performers •,,,,,,,,,,,,
Parental expectations,GT,PST,,,,,,,,,,,,,,,,,
Patriarchy,GT,PST,,,,,A system of society or government in which men hold the power and women are largely excluded from it.,,,,,,,,,,,,
Peyote,GT,PST,,,,,"A small, spineless cactus with psychoactive alkaloids, particularly mescaline",,,,,,,,,,,,
Photography,GT,PST,,,,,The art or practice of taking and processing photographs,,,,,,,,,,,,
Picketing,GT,PST,,Picket line,,,Act as a picket outside (a place of work or other venue),,,,,,,,,,,,
Pininos,GT,PST,,,,,First steps (slang),,,,,,,,,,,,
Poetic Realism,GF,PST,,,,,a film movement in France of the 1930s.,,,,,,,,,,,,
Poetry,GT,PST,,,,,"Writing that formulates a concentrated imaginative awareness of experience in language chosen and arranged to create a specific emotional response through meaning, sound, and rhythm",,,,,,,,,,,,
Pogrom,GT,PST,,,,,"a violent riot aimed at the massacre or persecution of an ethnic or religious group, particularly a riot aimed at the massacre or persecution of Jews",,,,,,,,,,,,
Policeman,GT,PST,,,,,A member of a police force,,,,,,,,,,,,
Political correctness,GT,PST,,,,,"the avoidance, often considered as taken to extremes, of forms of expression or action that are perceived to exclude, marginalize, or insult groups of people who are socially disadvantaged or discriminated against.",,,,,,,,,,,,
Political prisoner,GT,PST,,,,,a person imprisoned for their political beliefs or actions,,,,,,,,,,,,
Porno-misery cinema,GF,PST,,"""Porno Chanchada""",,,Films with a high content of poverty and human misery to make money and gain international recognition. The term was also used in neighboring countries such as Venezuela and Brasil and was intended to criticize the morality of the filmmakers taking this approach.,,,,,,,,,,,,
Postmodernism,GT,PST,,,,,"A late-20th-century style and concept in the arts, architecture, and criticism that represents a departure from modernism and has at its heart a general distrust of grand theories and ideologies",,,,,,,,,,,,
Post-production,TP,PST,,,,,Work done on a film after filming has taken place.,,,,,,,,,,,,
Poverty,GT,PST,,,,,,,,,,,,,,,,,
Pregnancy,GT,PST,,,,,The condition or period of being pregnant,,,,,,,,,,,,
Prison,GT,PST,,,,,a facility in which inmates are forcibly confined and denied a variety of freedoms under the authority of the state,,,,,,,,,,,,
Producer,PC,PST,,,,,Person in charge of production,,,,,,,,,,,,
Production designer,PC,PST,,,,,"Responsible for the visual concept of a film, television or theatre production. They identify a design style for sets, locations, graphics, props, lighting, camera angles and costumes, while working closely with the director and producer.",,,,,,,,,,,,
Proimagenes colombia,GT,PST,,,,,"A national fund for the arts in Colombia, started in 2007",,,,,,,,,,,,
Projection,GT,PST,,,,,"The presentation of an image on a surface, especially a movie screen.",,,,,,,,,,,,
Proofreader,GT,PST,,,,,A person whose job is to check text before it is printed or put online,,,,,,,,,,,,
Props,TP,PST,,,,,"A prop, formally known as (theatrical) property, is an object used on stage or on screen by actors during a performance or screen production. In practical terms, a prop is considered to be anything movable or portable on a stage or a set, distinct from the actors, scenery, costumes, and electrical equipment.",,,,,,,,,,,,
Pseudo-documentary,GF,PST,,,,,"A pseudo-documentary is a film or video production that takes the form or style of a documentary film but does not portray real events. Rather, scripted and fictional elements are used to tell the story",,,,,,,,,,,,
Psychology,GT,PST,,,,,the mental characteristics or attitude of a person or group.,,,,,,,,,,,,
Public Television,GT,PST,,,,,,,,,,,,,,,,,
Publicity,GT,PST,,,,,The notice or attention given to someone or something by the media.,,,,,,,,,,,,
"Quilmo, Argentina",GT,PST,,,,,"A city in the province of Buenos Aires, Argentina",,,,,,,,,,,,
Racism,GT,PST,,,,,A belief that race is the primary determinant of human traits and capacities and that racial differences produce an inherent superiority of a particular race,,,,,,,,,,,,
Radio Program,GT,PST,,,,,The broadcast programming of a radio format or content that is organized for commercial broadcasting and public broadcasting radio stations.,,,,,,,,,,,,
Radio station,GT,PST,,,,,A broadcasting station or channel.,,,,,,,,,,,,
Ranch,GT,PST,,,,,"A large farm for raising horses, beef cattle, or sheep",,,,,,,,,,,,
Reading,GT,PST,,,,,the action or skill of reading written or printed matter silently or aloud,,,,,,,,,,,,
Realism,GF,PST,,,,,"Quality of filmmaking devoted to depicting reality ""as it is""",,,,,,,,,,,,
Refugees,GT,PST,,,,,,,,,,,,,,,,,
Rehearsal,TP,PST,,,,,a practice or trial performance of a play or other work for later public performance,,,,,,,,,,,,
Rehearse,GT,PST,,,,,"Practice (a play, piece of music, or other work) for later public performance.",,,,,,,,,,,,
Religion,GT,PST,,,,,,,,,,,,,,,,,
Representation,GT,PST,,,,,the act or action of representing,,,,,,,,,,,,
Requiem,GT,PST,,,,,An act or token of remembrance/(especially in the Roman Catholic Church) a Mass for the repose of the souls of the dead,,,,,,,,,,,,
Research,GT,PST,,,,,The collecting of information about a particular subject,,,,,,,,,,,,
Road Movie,GF,PST,,,,,"A subgenre of the travel film, with a fictional narrative governed by movement, usually via car/road",,,,,,,,,,,,
Russia,GT,PST,,,,,,,,,,,,,,,,,
"Salta, Argentina",GT,PST,,,,,"Salta is a provincial capital in mountainous northwestern Argentina. Founded in 1582, it’s known for its Spanish colonial architecture and Andean heritage",,,,,,,,,,,,
"San Antonio, California",GT,PST,,,,,"An unincorporated community in Marin County, California",,,,,,,,,,,,
"San Francisco, California",GT,PST,,,,,A hilly city in Northern California on the tip of a peninsula surrounded by the Pacific Ocean and San Francisco Bay.,,,,,,,,,,,,
"San Joaquin Valley, California",GT,PST,,,,,Central Valley of the state of California,,,,,,,,,,,,
Satire,GF,PST,,,,,,,,,,,,,,,,,
Science Fiction,GF,PST,,,,,a form of fiction that deals principally with the impact of actual or imagined science upon society or individuals,,,,,,,,,,,,
Screen test,TP,PST,,,,,A filmed test to ascertain whether an actor is suitable for a movie role,,,,,,,,,,,,
Screening,TP,PST,,Film screenings,,,A showing of a motion picture,,,,,,,,,,,,
Screenplay,TP,PST,,Script,,,Guión,,,,,,,,,,,,
Sequence shot,TP,PST,,,,,"Often referred to as ""long take"" sometimes as ""long shot"" (I prefer the first). When the camera does not cut (a la Orson Welles Touch of Evil)",,,,,,,,,,,,
Sexism,GT,PST,,,,,Sexismo,,,,,,,,,,,,
Shanty town,GT,PST,,,,,"a settlement of improvised housing, called shanties or shacks, made of plywood, corrugated metal, sheets of plastic, and cardboard boxes",,,,,,,,,,,,
Short stories,GT,PST,,,,,A story with a fully developed theme but significantly shorter and less elaborate than a novel,,,,,,,,,,,,
Short story,GT,PST,,,,,Literary narratives that are sometimes points of departure for film scripts,,,,,,,,,,,,
Soap Opera,GF,PST,,,,,(in Latin America) a television soap opera.,,,,,,,,,,,,
Sobreprecio films,GF,PST,,,,,"1972, the law of ""sobreprecio"" was stablished, which added a fee for the exhibition of Colombian short films and feature films. The entity authorized to charge a special surcharge for each entry ticket to theaters that presented Colombian films in order to promote the national film industry. (festicineantioquia.com)",,,,,,,,,,,,
Social class,GT,PST,,,,,"a broad group in society having common economic, cultural, or political status.",,,,,,,,,,,,
Social justice,GT,PST,,,,,"Justice in terms of the distribution of wealth, opportunities, and privileges within a society",,,,,,,,,,,,
Sociology,GT,PST,,,,,"The study of the development, structure, and functioning of human society.",,,,,,,,,,,,
Sound,GT,PST,,,,,Sonido,,,,,,,,,,,,
Soundtrack,TP,PST,,,,,A recording of the musical accompaniment to a movie.,,,,,,,,,,,,
Spanish Civil War (1936-39),ET,PST,,,,,"A military revolt against the Republican government of Spain, supported by conservative elements within the country. When an initial military coup failed to win control of the entire country, a bloody civil warensued, fought with great ferocity on both sides. The Nationalists, as the rebels were called, received aid from Fascist Italy and Nazi Germany. The Republicans received aid from the Soviet Union, as well as from International Brigades, composed of volunteers from Europe and the United States.",,,,,,,,,,,,
Spanish Inquisition (1478-1834),ET,PST,,,,,"judicial institution ostensibly established to combat heresy in Spain. In practice, the Spanish Inquisition served to consolidate power in the monarchy of the newly unified Spanish kingdom, but it achieved that end through infamously brutal methods.",,,,,,,,,,,,
Spirituality,GT,PST,,,,,The quality of being concerned with the human spirit or soul as opposed to material or physical things.,,,,,,,,,,,,
Stereotype,GT,PST,,,,,An often unfair and untrue belief that many people have about all people or things with a particular characteristic.,,,,,,,,,,,,
Storyboards,GT,PST,,,,,Guión gráfico,,,,,,,,,,,,
Student Academy Award,AW,PST,,,,,The Academy established the Student Academy Awards in 1972 to support and encourage excellence in filmmaking at the collegiate level.,,,,,,,,,,,,
Student Committee for Travel to Cuba,GT,PST,,SCTC,,,,,,,,,,,,,,,
Student protests,GT,PST,,,,,,,,,,,,,,,,,
Students,GT,PST,,,,,estudiantes,,,,,,,,,,,,
Studio,GT,PST,,,,,A place where motion pictures are made/a company that produces motion pictures,,,,,,,,,,,,
Subtitles,TP,PST,,,,,,,,,,,,,,,,,
Suicide,GT,PST,,,,,the act or an instance of taking one's own life voluntarily and intentionally,,,,,,,,,,,,
Sundance Film Festival,ET,PST,,,,,Film festival put on annually in Park City UT by the Sundance Institute,,,,,,,,,,,,
Sundance Institute,GT,PST,,,,,Instituto Sundance,,,,,,,,,,,,
Super 8 camera,TP,PST,,,,,Home video recording with an emulsion based material impression,,,,,,,,,,,,
Supernatural (check language for consistency against Deluxe subtitles),GT,PST,,,,,Sobrenatural,,,,,,,,,,,,
Teatro Campesino,ET,PST,,,,,Teatro campesino,,,,,,,,,,,,
Teatro de los Barrios,ET,PST,,,,,,,,,,,,,,,,,
Technicolor,TP,PST,,,,,"A process of color cinematography using synchronized monochrome films, each of a different color, to produce a movie in color.",,,,,,,,,,,,
Technology,GT,PST,,,,,Tecnología,,,,,,,,,,,,
Telenovela,GF,PST,,,,,,,,,,,,,,,,,
Televisa,GF,PST,,,,,"Mexican multimedia mass media company, and the largest in Hispanic America as well as the first of all the Spanish-speaking world. It is a major international entertainment business, with much of its programming airing in the United States on Univision, with which it has an exclusive contract",,,,,,,,,,,,
Television,GT,PST,,,,,Televisión,,,,,,,,,,,,
Television series,GT,PST,,,,,"A segment of content intended for broadcast on over-the-air, cable television, or Internet television, other than a commercial, trailer, or any other segment of content not serving as attraction for viewership",,,,,,,,,,,,
Telluride Film Festival,ET,PST,,,,,"The Telluride Film Festival is a film festival in Telluride, Colorado, U.S., over Labor Day Weekend in September of each year.",,,,,,,,,,,,
Teotihuacan,GT,PST,,,,,A vast Mexican archaeological complex northeast of Mexico City,,,,,,,,,,,,
Texas State Teachers' Union,GT,PST,,TSTA,,NEA,,,,,,,,,,,,,
Theater,GT,PST,,,,,"Learning how to act, crucial for actors",,,,,,,,,,,,
Theatrical play,GT,PST,,,,,"A play is a form of literature written by a playwright, usually consisting of dialogue between characters, intended fortheatrical performance rather than just reading",,,,,,,,,,,,
Thesis,GT,PST,,,,,As in - thesis film,,,,,,,,,,,,
"Tijuana, Mexico",GT,PST,,,,,,,,,,,,,,,,,
Tragedy,GT,PST,,,,,"A play dealing with tragic events and having an unhappy ending, especially one concerning the downfall of the main character",,,,,,,,,,,,
Tragicomedy,GT,PST,,,,,A drama or a situation blending tragic and comic elements,,,,,,,,,,,,
Transnational Cinema,GF,PST,,Global Cinema,,Binational Cinema,"Films and cinemas that transcend national boundaries and/or fashion their narrative and aesthetic strategies with reference to more than one national or cultural tradition or community. The idea of the transnational alludes to the forces that link people and institutions across nations: the global circulation of money, commodities, information, and people, for example. Transnational cinema is part of this broader nexus of forces, which take in not only Hollywood's domination of world film markets but also the huge global surge in circulation of films consequent upon the availability delivery technologies such as video and DVD",,,,,,,,,,,,
Travelogue,GF,PST,,,,,"A movie, book, or illustrated lecture about the places visited and experiences encountered by a traveler.",,,,,,,,,,,,
Trinity University,GT,PST,,,,,,,,,,,,,,,,,
Tulipa film,GT,PST,,,,,"Cuban film from 1967 - 93 minutes. 
Directed and produced by Manuel Octavio Gómez",,,,,,,,,,,,
UCLA Film School,GT,PST,,,,,,,,,,,,,,,,,
Underground film,GF,PST,,,,,"An underground film is a film that is out of the mainstream either in its style, genre, or financing",,,,,,,,,,,,
Unions,GT,PST,,,,,,,,,,,,,,,,,
United Farm Workers of America,GT,PST,,UFWA,,,,,,,,,,,,,,,
United States/Mexico border,GT,PST,,,,,,,,,,,,,,,,,
Universal Studios,GT,PST,,,,,,,,,,,,,,,,,
University of Guadalajara,GT,PST,,,,,Universidad de Guadalajara,,,,,,,,,,,,
University of Mexico,GT,PST,,,,,Universidad Nacional Autónoma de México,,,,,,,,,,,,
University of Sao Paulo,GT,PST,,,,,Universidad de Sao Paulo,,,,,,,,,,,,
Univision,GT,PST,,,,,,,,,,,,,,,,,
USC - University of Southern California,GT,PST,,,,,,,,,,,,,,,,,
Venice International Film Festival,ET,PST,,,,,"The Venice Film Festival or Venice International Film Festival, founded in 1932, is the oldest film festival in the world and one of the ""Big Three"" film festivals alongside the Cannes Film Festival and Berlin International Film Festival",,,,,,,,,,,,
Ventriloquist,GT,PST,,Dummies,,Ventriloquism,One who provides entertainment by using ventriloquism to carry on an apparent conversation with a hand-manipulated dummy,,,,,,,,,,,,
Video,TP,PST,,,,,"The recording, reproducing, or broadcasting of moving visual images",,,,,,,,,,,,
Videocamera,TP,PST,,,,,"Implement that sllows the recording of sound and images, can be analog (VHS, Beta, etc) or digital",,,,,,,,,,,,
Vietnam War,GT,PST,,,,,Guerra de Vietnam,,,,,,,,,,,,
Violence,GT,PST,,,,,"Behavior involving physical force intended to hurt, damage, or kill someone or something",,,,,,,,,,,,
War,GT,PST,,,,,Guerra,,,,,,,,,,,,
Warner Bros. studios,GT,PST,,,,,,,,,,,,,,,,,
Western,GF,PST,,,,,"a genre... set in the American West, usually in the period from the 1850s to the end of the 19th century. Though basically an American creation, the western had its counterparts in the gaucho literature of Argentina and in tales of the settlement of the Australian outback. The genre reached its greatest popularity in the early and middle decades of the 20th century and declined somewhat thereafter.",,,,,,,,,,,,
Westerns,GF,PST,,,,,Western films/genre,,,,,,,,,,,,
Widow,GT,PST,,,,,A woman who has lost her husband by death and usually has not remarried,,,,,,,,,,,,
Working with actors,GT,PST,,,,,,,,,,,,,,,,,
World War II,ET,PST,,Second World War,,,The war that was fought mainly in Europe and Asia from 1939 to 1945,,,,,,,,,,,,
Writers Guild of America,GT,PST,,WGA,,,,,,,,,,,,,,,
Writing process,GT,PST,,,,,,,,,,,,,,,,,
Zarzuela comedy,GT,PST,,,,,A Spanish traditional form of musical comedy.,,,,,,,,,,,,
Zoot Suit Riots,ET,PST,,Sleepy Lagoon Murder Trial,,,,,,,,,,,,,,,
Activismo,,PST,,,,,,,,,,,,,,,,,
Adaptación,,PST,,,,,,,,,,,,,,,,,
Adaptación,,PST,,,,,,,,,,,,,,,,,
Adicción,,PST,,,,,,,,,,,,,,,,,
Agente/ representante,,PST,,,,,,,,,,,,,,,,,
Antisemitismo,,PST,,,,,,,,,,,,,,,,,
Antropología,,PST,,,,,,,,,,,,,,,,,
Arqueología,,PST,,,,,,,,,,,,,,,,,
Asistente,,PST,,,,,,,,,,,,,,,,,
Audiencia,,PST,,,,,,,,,,,,,,,,,
Autobiografía,,PST,,,,,,,,,,,,,,,,,
Banda Sonora,,PST,,,,,,,,,,,,,,,,,
Barroco,,PST,,,,,,,,,,,,,,,,,
Borde/Frontera,,PST,,,,,,,,,,,,,,,,,
Cámara,,PST,,,,,,,,,,,,,,,,,
Cámara de super 8,,PST,,,,,,,,,,,,,,,,,
Cámara de video,,PST,,,,,,,,,,,,,,,,,
Cámara en mano,,PST,,,,,,,,,,,,,,,,,
Camarógrafo,,PST,,,,,,,,,,,,,,,,,
Carioca,,PST,,,,,,,,,,,,,,,,,
Casting,,PST,,,,,,,,,,,,,,,,,
Católico,,PST,,,,,,,,,,,,,,,,,
Censura/ Control,,PST,,,,,,,,,,,,,,,,,
Censura/Control,,PST,,,,,,,,,,,,,,,,,
Chanchada- Comedia de bajo presupuesto,,PST,,,,,,,,,,,,,,,,,
Cine,,PST,,,,,,,,,,,,,,,,,
Cine Arte,,PST,,,,,,,,,,,,,,,,,
Cine clásico,,PST,,,,,,,,,,,,,,,,,
Cine Digital,,PST,,,,,,,,,,,,,,,,,
Cine experimental,,PST,,,,,,,,,,,,,,,,,
Cine Independiente,,PST,,,,,,,,,,,,,,,,,
Cine Independiente,,PST,,,,,,,,,,,,,,,,,
Cine Latino,,PST,,,,,,,,,,,,,,,,,
Cine marginal,,PST,,,,,,,,,,,,,,,,,
Cine Negro,,PST,,,,,,,,,,,,,,,,,
Cine nuevo,,PST,,,,,,,,,,,,,,,,,
Cine Transnacional,,PST,,,,,,,,,,,,,,,,,
Cineasta,,PST,,,,,,,,,,,,,,,,,
Cineclub,,PST,,,,,,,,,,,,,,,,,
Cinefilia,,PST,,,,,,,,,,,,,,,,,
Cinema Pornomiseria,,PST,,,,,,,,,,,,,,,,,
Cinematografía,,PST,,,,,,,,,,,,,,,,,
Ciudad de México,,PST,,,,,,,,,,,,,,,,,
Ciudadano,,PST,,,,,,,,,,,,,,,,,
Clase social/Estatus,,PST,,,,,,,,,,,,,,,,,
Colaboración,,PST,,,,,,,,,,,,,,,,,
Colonialismo,,PST,,,,,,,,,,,,,,,,,
Comedia Costumbrista,,PST,,,,,,,,,,,,,,,,,
Comercial/Publicidad,,PST,,,,,,,,,,,,,,,,,
Conciencia,,PST,,,,,,,,,,,,,,,,,
Concierto,,PST,,,,,,,,,,,,,,,,,
Coreografía,,PST,,,,,,,,,,,,,,,,,
Corrector/Editor,,PST,,,,,,,,,,,,,,,,,
Cortos de Sobreprecio,,PST,,,,,,,,,,,,,,,,,
Crisis de los misiles en Cuba,,PST,,,,,,,,,,,,,,,,,
Críticos,,PST,,,,,,,,,,,,,,,,,
Cuento,,PST,,,,,,,,,,,,,,,,,
Cuento de hadas,,PST,,,,,,,,,,,,,,,,,
Cultura,,PST,,,,,,,,,,,,,,,,,
Cultura Latina,,PST,,,,,,,,,,,,,,,,,
De Colores (song),,PST,,,,,,,,,,,,,,,,,
Deportación,,PST,,,,,,,,,,,,,,,,,
Dia de la independencia Mexicana,,PST,,,,,,,,,,,,,,,,,
Dia de los Muertos,,PST,,,,,,,,,,,,,,,,,
Diarios,,PST,,,,,,,,,,,,,,,,,
Dibujos Animados/ Caricatura,,PST,,,,,,,,,,,,,,,,,
Dictadura,,PST,,,,,,,,,,,,,,,,,
Director,,PST,,,,,,,,,,,,,,,,,
Director de fotografia,,PST,,,,,,,,,,,,,,,,,
Diseñador de producción,,PST,,,,,,,,,,,,,,,,,
Disfraz/Traje,,PST,,,,,,,,,,,,,,,,,
Distribución,,PST,,,,,,,,,,,,,,,,,
Divorcio,,PST,,,,,,,,,,,,,,,,,
Doblaje,,PST,,,,,,,,,,,,,,,,,
Doctor/Médico,,PST,,,,,,,,,,,,,,,,,
Documental,,PST,,,,,,,,,,,,,,,,,
Dolly,,PST,,,,,,,,,,,,,,,,,
Drogas,,PST,,,,,,,,,,,,,,,,,
Editor de películas o montajista,,PST,,,,,,,,,,,,,,,,,
Educación,,PST,,,,,,,,,,,,,,,,,
Ejecutivo,,PST,,,,,,,,,,,,,,,,,
El cine underground/cine subterráneo,,PST,,,,,,,,,,,,,,,,,
Embarazo,,PST,,,,,,,,,,,,,,,,,
Ensayar,,PST,,,,,,,,,,,,,,,,,
Entretenimiento,,PST,,,,,,,,,,,,,,,,,
Época de Oro del Cine Mexicano,,PST,,,,,,,,,,,,,,,,,
Equitación,,PST,,,,,,,,,,,,,,,,,
Escuela Católica,,PST,,,,,,,,,,,,,,,,,
Escuela de cine,,PST,,,,,,,,,,,,,,,,,
Esgrima,,PST,,,,,,,,,,,,,,,,,
Espiritualidad,,PST,,,,,,,,,,,,,,,,,
Estación de radio,,PST,,,,,,,,,,,,,,,,,
Estados Unidos/Mexico Frontera,,PST,,,,,,,,,,,,,,,,,
Estereotipo,,PST,,,,,,,,,,,,,,,,,
Estudio de filmación,,PST,,,,,,,,,,,,,,,,,
Expectativas de los padres,,PST,,,,,,,,,,,,,,,,,
Exposición de Cine,,PST,,,,,,,,,,,,,,,,,
Facismo,,PST,,,,,,,,,,,,,,,,,
Facultad de Derecho,,PST,,,,,,,,,,,,,,,,,
Falso Documental,,PST,,,,,,,,,,,,,,,,,
Familia,,PST,,,,,,,,,,,,,,,,,
Feminismo,,PST,,,,,,,,,,,,,,,,,
Festival de Cine de Sundance/ taller,,PST,,,,,,,,,,,,,,,,,
Festival Internacional de Cine de Mar del Plata,,PST,,,,,,,,,,,,,,,,,
Festival Internacional de Cine de Venecia,,PST,,,,,,,,,,,,,,,,,
Festivales de cine,,PST,,,,,,,,,,,,,,,,,
Financiamiento/ Fondos,,PST,,,,,,,,,,,,,,,,,
Fotografía,,PST,,,,,,,,,,,,,,,,,
Género- Ciencia Ficción,,PST,,,,,,,,,,,,,,,,,
Género- Fantasia,,PST,,,,,,,,,,,,,,,,,
Género- Melodrama,,PST,,,,,,,,,,,,,,,,,
Género- Película de carretera,,PST,,,,,,,,,,,,,,,,,
Género- Película de vaqueros,,PST,,,,,,,,,,,,,,,,,
Género- Terror,,PST,,,,,,,,,,,,,,,,,
Gran Depresión,,PST,,,,,,,,,,,,,,,,,
Gran Teatro de la Havana,,PST,,,,,,,,,,,,,,,,,
Guerra,,PST,,,,,,,,,,,,,,,,,
Guerra Civil Española,,PST,,,,,,,,,,,,,,,,,
Guerra de Vietnam,,PST,,,,,,,,,,,,,,,,,
Guión,,PST,,,,,,,,,,,,,,,,,
Guión gráfico,,PST,,,,,,,,,,,,,,,,,
Historia Americana,,PST,,,,,,,,,,,,,,,,,
Historia de Mexico,,PST,,,,,,,,,,,,,,,,,
Historias cortas,,PST,,,,,,,,,,,,,,,,,
Homosexualidad,,PST,,,,,,,,,,,,,,,,,
Identidad Chicana,,PST,,,,,,,,,,,,,,,,,
Idioma,,PST,,,,,,,,,,,,,,,,,
Improvisación,,PST,,,,,,,,,,,,,,,,,
Indígenas,,PST,,,,,,,,,,,,,,,,,
Industria del cine,,PST,,,,,,,,,,,,,,,,,
Industria del cine,,PST,,,,,,,,,,,,,,,,,
Infancia,,PST,,,,,,,,,,,,,,,,,
Inmigración,,PST,,,,,,,,,,,,,,,,,
Internado,,PST,,,,,,,,,,,,,,,,,
Invasión de Bahía de Cochinos,,PST,,,,,,,,,,,,,,,,,
Investigación,,PST,,,,,,,,,,,,,,,,,
Judaismo,,PST,,,,,,,,,,,,,,,,,
Justicia Social,,PST,,,,,,,,,,,,,,,,,
La huelga de la uva en Delano,,PST,,,,,,,,,,,,,,,,,
La nueva ola francesa,,PST,,,,,,,,,,,,,,,,,
Largometraje,,PST,,,,,,,,,,,,,,,,,
Latín,,PST,,,,,,,,,,,,,,,,,
Lenguaje/Expresión,,PST,,,,,,,,,,,,,,,,,
Lifetime,,PST,,,,,,,,,,,,,,,,,
Linotipo,,PST,,,,,,,,,,,,,,,,,
Locación,,PST,,,,,,,,,,,,,,,,,
Lugar de nacimiento/origen,,PST,,,,,,,,,,,,,,,,,
Machismo,,PST,,,,,,,,,,,,,,,,,
Mafia,,PST,,,,,,,,,,,,,,,,,
Maquillista,,PST,,,,,,,,,,,,,,,,,
Material de archivo,,PST,,,,,,,,,,,,,,,,,
Maternidad,,PST,,,,,,,,,,,,,,,,,
Melodrama,,PST,,,,,,,,,,,,,,,,,
Mentoría,,PST,,,,,,,,,,,,,,,,,
Migración,,PST,,,,,,,,,,,,,,,,,
Montaje,,PST,,,,,,,,,,,,,,,,,
Movimiento Chicano,,PST,,,,,,,,,,,,,,,,,
Moviola,,PST,,,,,,,,,,,,,,,,,
Museo de Arte Moderno,,PST,,,,,,,,,,,,,,,,,
Musicales,,PST,,,,,,,,,,,,,,,,,
Músico,,PST,,,,,,,,,,,,,,,,,
Nacionalismo,,PST,,,,,,,,,,,,,,,,,
Nadaismo,,PST,,,,,,,,,,,,,,,,,
Nazis,,PST,,,,,,,,,,,,,,,,,
Neorrealismo,,PST,,,,,,,,,,,,,,,,,
Pantomima,,PST,,,,,,,,,,,,,,,,,
Partido Comunista,,PST,,,,,,,,,,,,,,,,,
Partido Pantera Negra,,PST,,,,,,,,,,,,,,,,,
Patriarcado,,PST,,,,,,,,,,,,,,,,,
"Película del oeste, wéstern",,PST,,,,,,,,,,,,,,,,,
Película documental de viaje,,PST,,,,,,,,,,,,,,,,,
Películas caseras,,PST,,,,,,,,,,,,,,,,,
Películas de Disney,,PST,,,,,,,,,,,,,,,,,
Periódicos,,PST,,,,,,,,,,,,,,,,,
Personaje,,PST,,,,,,,,,,,,,,,,,
Pintura,,PST,,,,,,,,,,,,,,,,,
Piquete,,PST,,,,,,,,,,,,,,,,,
Plano sequencia,,PST,,,,,,,,,,,,,,,,,
