Preferred term,Category,Source,Source2,Variants,Var source,Variants2,Definition,Definition source,Applicable profession,Related term,Relationship,Related term 2,Relationship2,Main category,Flag,Notes,LCSH Heading,LCSH link,OHP Core
Chanchada comedy,GF,PST,,Low budget comedy,,,Popular dramas and burlesque musical comedies. Common in Brazil between the 1930s and 1960s.,,,,,,,,,,,,
Character,GT,PST,,Fictional character,,,"A character is a person or other being in a narrative work of art (such as a novel, play, television series, or film)",,,,,,,,,,,,
Chicago International Film Festival,ET,PST,,,,,"An annual film festival held every fall. Founded in 1964 by Michael Kutza, it is the longest-running competitive film festival in North America",,,,,,,,,,,,
Chicano identity,GT,PST,,,,,"American of Mexican descent, usually 1st, 2nd, 3rd generation
",,,,,,,,,,,,
Chicano Movement,GT,PST,,,,,"1960s farmworker strike in CA, TX. Cesar Chavez, Dolores Huerta
Chicano, feminine form Chicana, identifier for people of Mexican descent born in the United States. The term came into popular use by Mexican Americans as a symbol of pride during the Chicano Movement of the 1960s.",,,,,,,,,,,,
"Chihuahua, Mexico",GT,PST,,,,,Chihuahua officially the Free and Sovereign State of Chihuahua is one of the 32 states of Mexico. Its capital city is Chihuahua City,,,,,,,,,,,,
Childhood,GT,PST,,,,,"period of the human lifespan between infancy and adolescence, extending from ages 1–2 to 12–13. See child development.",,,,,,,,,,,,
Choreography,GT,PST,,,,,"Is the art or practice of designing sequences of movements of physical bodies (or their depictions) in which motion, form, or both are specified",,,,,,,,,,,,
"Cienfuegos, Cuba",GT,PST,,,,,"is a city on the southern coast of Cuba. It is located about 250 km (160 mi) from Havana and has a population of 150,000. The city is dubbed La Perla del Sur (Pearl of the South). Cienfuegos literally translates to ""one hundred fires""—cien meaning ""one hundred"", fuegos meaning ""fires"".",,,,,,,,,,,,
CinéChèque Nationale,GT,PST,,,,,?? Follow up -,,,,,,,,,,,,
Cinema Novo,GF,PST,,Brazilian New Wave Cinema,,,"Part of the New Latin American Cinema movement of the 1960s. Brazillian film movement characterized by neorealist style, use of non-actors, and explicitly political message.",,,,,,,,,,,,
Cinematographer,PC,PST,,,,,Person responsible for making artistic and technical decisions related to the image,,,,,,,,,,,,
Cinematography,TP,PST,,,,,"the planning and control of lighting and camera during film production. The person responsible for a film's cinematography is known as the cinematographer or director of photography, sometimes abbreviated to DoP",,,,,,,,,,,,
Cinephilia,GT,PST,,,,,"Cinephilia is the term used to refer to a passionate interest in cinema, film theory and film criticism. The term is a portmanteau of the words cinema and philia, one of the four ancient Greek words for love.[1] A person with a passionate interest in cinema is called a cinephile, cinemaphile, or, informally, a movie buff.",,,,,,,,,,,,
Citizenship,GT,PST,,,,,A native or naturalized person who owes allegiance to a government and is entitled to protection from it •,,,,,,,,,,,,
Classic film,GT,PST,,,,,"Classic films are often universal favorites that hold up after repeated rescreenings. Classics are renowned films of first rank, reference points in film mythology, or films that have become a part of American cultural folklore",,,,,,,,,,,,
